customer_id,first_name,last_name,date_of_birth,national_id,email,phone_number,address_line1,city,region,postal_code,plan_id,activation_date,account_status,customer_segment,credit_score
CUST0000001,Joshua,Walker,1984-02-21,bfn-18-1960,williamjohnson@example.org,3794026542351,1559 Roman Stream,Herrerafurt,NORTH,10829,PLN006,2021-10-12,ACTIVE,CONSUMER,550
CUST0000002,Christine,Hensley,1978-03-14,fog-93-1034,oramirez@example.com,5534192832764,503 Linda Locks,Carlshire,SOUTH,94599,PLN002,2025-10-20,CHURNED,CONSUMER,389
CUST0000003,Randall,Rocha,1962-01-21,IqV-72-4238,zhurst@example.com,2871012269166,480 Erin Plain Suite 514,Mooretown,WEST,95147,PLN005,2024-12-06,ACTIVE,CONSUMER,395
CUST0000004,Vincent,White,2000-03-20,xWk-14-8932,georgetracy@example.org,4303911718227,8963 Jennifer Locks,Samuelhaven,SOUTH,59678,PLN002,2022-12-21,SUSPENDED,ENTERPRISE,327
CUST0000005,Matthew,Chapman,1948-11-20,oec-39-3010,chad34@example.net,3829973763116,6701 Richard Junction Apt. 333,Taylorburgh,SOUTH,37010,PLN005,2022-10-12,CHURNED,ENTERPRISE,729
CUST0000006,Charles,Morton,1972-02-13,Wpk-81-0801,ntucker@example.com,2606474687234,98050 Breanna Parkway,North Susan,WEST,11001,PLN002,2026-01-10,SUSPENDED,CONSUMER,306
CUST0000007,Carlos,Hensley,1998-07-20,cNf-61-9399,ksandoval@example.net,4353462475107,83842 Ibarra Gardens,Justinmouth,WEST,71701,PLN002,2021-12-31,ACTIVE,CONSUMER,459
CUST0000008,Vanessa,Valdez,1988-07-01,hgV-08-4124,josephjacobs@example.net,3487401640052,78680 Charles Spurs Apt. 805,South David,EAST,40905,PLN002,2024-09-17,ACTIVE,CONSUMER,689
CUST0000009,Teresa,Williams,1965-06-15,ANV-53-3158,sarayoung@example.org,6025634216073,5433 Donna Locks,Joshualand,EAST,37086,PLN001,2026-04-27,ACTIVE,ENTERPRISE,570
CUST0000010,Erin,Anthony,1964-07-15,qcg-50-1429,yreed@example.com,9816934060883,1595 Jennifer Hills Suite 656,Angelaborough,WEST,55609,PLN001,2024-03-15,SUSPENDED,CONSUMER,687
CUST0000011,Kaitlin,Thompson,1985-11-15,snB-94-6804,steven73@example.net,2148951343320,79176 Jennifer Lights,Rossberg,EAST,86491,PLN001,2023-07-21,CHURNED,ENTERPRISE,670
CUST0000012,Michelle,Mcclure,1987-06-02,Jph-63-2870,danderson@example.net,7986872774348,347 Jennifer Freeway Suite 558,East Edwardfurt,SOUTH,91458,PLN005,2026-02-12,CHURNED,CONSUMER,346
CUST0000013,Robert,Rivera,1951-01-19,XLS-76-0366,gateskathy@example.com,0546688937346,65627 Tina Place Apt. 699,North Dawnberg,SOUTH,61016,PLN006,2022-09-22,ACTIVE,CONSUMER,538
CUST0000014,Mark,Gibson,1953-01-06,EbV-56-4641,cookemichael@example.net,0033092327193,452 Kimberly Estates Suite 190,Barbarafurt,WEST,52491,PLN001,2022-12-16,ACTIVE,SME,673
CUST0000015,Brittany,Rivas,2004-09-05,Ycw-31-4919,estanley@example.net,0671657262849,6945 Mariah Corners Suite 737,Rogersfort,EAST,43101,PLN002,2022-08-25,ACTIVE,CONSUMER,573
CUST0000016,Lauren,Peterson,1953-01-09,fpU-94-8083,wfreeman@example.org,7701436349578,8557 Parker Fort Apt. 351,East Javier,NORTH,63965,PLN006,2022-09-19,SUSPENDED,CONSUMER,846
CUST0000017,Kathleen,Carlson,1959-06-18,taT-13-4352,joshuamccann@example.net,2710947775204,16719 Edward Valleys Suite 131,Obrienbury,SOUTH,68995,PLN006,2024-08-08,ACTIVE,SME,688
CUST0000018,Kenneth,Chapman,1966-07-11,VgW-64-9909,colleenbaker@example.org,3281206797403,471 Sandra Turnpike Apt. 618,Lake Edward,SOUTH,35317,PLN003,2026-03-13,CHURNED,CONSUMER,357
CUST0000019,Gabriel,Parker,1996-11-14,Szr-94-7174,mkim@example.org,5940139904902,742 Walters Overpass Apt. 756,Manuelville,NORTH,21580,PLN002,2022-01-05,ACTIVE,SME,574
CUST0000020,Keith,Landry,1963-02-01,uhX-80-7154,ahancock@example.net,6038597703482,7109 Jennifer Inlet Apt. 861,Port Robin,SOUTH,60983,PLN001,2025-02-14,SUSPENDED,CONSUMER,517
CUST0000021,Eric,Cantu,2005-01-22,pDJ-48-4677,patrickweeks@example.net,1465840449972,755 Gibson Islands Apt. 396,Port Kimberly,WEST,06221,PLN006,2024-11-22,ACTIVE,SME,446
CUST0000022,Robin,James,1962-04-18,vgC-27-0289,foxstephen@example.net,6217459615865,091 Crystal Heights Apt. 161,South Garrettport,SOUTH,04295,PLN003,2024-01-08,ACTIVE,ENTERPRISE,569
CUST0000023,Kelly,Brooks,1943-10-15,klf-23-8692,pharvey@example.com,3747407482175,647 Gonzalez Lights Suite 136,Baileyport,WEST,03376,PLN006,2025-08-20,SUSPENDED,SME,670
CUST0000024,Joshua,Knight,2007-02-28,Zwo-09-7439,christinebyrd@example.net,1047095214562,85884 Jonathan Views,Coffeyport,SOUTH,98354,PLN002,2024-12-11,SUSPENDED,SME,393
CUST0000025,Taylor,Jones,1999-11-06,aqI-36-8516,gibsonemily@example.net,9651370985931,461 Brandon Camp Suite 711,New Derek,NORTH,59960,PLN001,2025-09-04,ACTIVE,CONSUMER,732
CUST0000026,Heather,Fernandez,1965-11-20,Arc-92-6179,jeff73@example.com,5850643171390,3293 Maria Plaza,New Jason,NORTH,31040,PLN005,2026-05-27,ACTIVE,SME,779
CUST0000027,Rachel,Smith,1963-01-01,Qbi-22-8421,howardkristina@example.net,0240268117758,8390 Ellis Burgs,South Melaniechester,EAST,90429,PLN005,2022-05-24,SUSPENDED,CONSUMER,417
CUST0000028,Scott,Lam,1948-01-01,NOL-59-2124,oscar98@example.com,8961183673657,1565 Brooks Drives Suite 111,South Colinstad,EAST,17555,PLN006,2025-03-20,CHURNED,CONSUMER,414
CUST0000029,Anna,Rivera,1978-06-29,Mtw-16-5604,lanejason@example.net,3158514936899,402 Park Inlet,Michaelburgh,WEST,19277,PLN003,2024-08-02,ACTIVE,SME,303
CUST0000030,Donald,Schultz,1979-03-03,Dvk-01-8366,larry59@example.net,0229014767976,81561 Gregory Ramp Suite 840,South Tracey,EAST,07681,PLN006,2023-08-29,SUSPENDED,CONSUMER,819
CUST0000031,Jason,Taylor,1941-03-07,VBl-44-5107,omarpadilla@example.net,1606071596966,60529 Collier Lake Apt. 613,Chapmanhaven,EAST,10809,PLN001,2023-03-01,CHURNED,ENTERPRISE,503
CUST0000032,Matthew,Cook,1967-07-28,mXw-21-8188,jessica23@example.org,4329212779979,527 Taylor Roads Suite 490,Williamport,EAST,61022,PLN002,2023-03-17,ACTIVE,ENTERPRISE,843
CUST0000033,Marie,Jones,1971-05-23,LJY-19-9867,colelisa@example.net,5978207151820,778 Michael Haven,Ortizmouth,EAST,89485,PLN001,2021-12-09,ACTIVE,CONSUMER,414
